Symbol	Description
6SUS	Ny05100n 200901
7PMS	Ny07100x 220901
7QQS	Nz07100s 270301
A04	Asl Marine Holdings Ltd
A05	Avjennings Limited
A0P	Macarthurcook Prop Sec Fund
A0W	Lyxor Commodities Crb Fund 10
A13	Allied Technologies Limited
A17U	Ascendas Real Estate Inv Trust
A23	Auric Pacific Group Limited
A26	Sinarmas Land Limited
A27	Mdr Limited
A30	Aspial Corporation Limited
A31	Addvalue Technologies Ltd
A33	Blumont Group Ltd.
A34	Amara Holdings Ltd
A35	Abf Spore Bond Index Fund Etf
A50	Rowsley Ltd.
A52	Annaik Limited
A55	Asia Enterprises Holding Ltd
A68U	Ascott Residence Trust
A75	Ace Achieve Infocom Limited
A78	Liongold Corp Ltd
A7RU	Cityspring Infrastruct Trust
A7S	Sunvic Chemical Holdings Ltd
A9A	Lyxor Msci Taiwan Index Fund10
A9B	Lyxor Hang Seng Index Fund 10
AAJ	Sunmoon Food Company Limited
ACV	Frasers Hospitality Trust
ACW	Chiwayland International Ltd
ACXW	Chiwayland Intl W170108
AD7	China Bearing (singapore) Ltd.
AD8	Sino Techfibre Limited
ADJ	Ols Enterprise Ltd.
ADN	First Sponsor Group Limited
ADP	Swissco Holdings Limited
ADQU	Accordia Golf Trust
AFC	Yuuzoo Corporation
AFUS	Nx15100z 250601
AFVS	N515100s 200701
AFWS	N215100f 171001
AGAW	Innopac Holdings W171110
AGS	The Hour Glass Limited
AIY	Ifast Corporation Ltd.
AJ2	Ouhua Energy Holdings Limited
AJBU	Keppel Dc Reit
AJHW	Shs Holdings W191216
ALJW	Nol Mb Ecw160601
ALRW	Capitaland Mb Ecw160601
ALUW	Globallogisticpropmbecw160601
AMAW	Noble Group Mb Ecw160601
AMJW	Yangzijiang Mb Ecw160606
AMQW	Kepcorp Mb Ecw160601
AMVW	Uob Mb Ecw160601
ANBW	Dbs Mb Ecw160601
ANHW	Ocbc Bk Mb Ecw160601
ANLW	Singapore Post Mb Ecw160601
ANNW	Singapore Exchangembecw160601
AO9	Lyxor Korea 10
AOF	Amplefield Limited
AP4	Riverstone Holdings Limited
ATL	Courage Marine Group Limited
ATRW	Singtel Mb Ecw160603
ATSW	Singtel Mb Epw160603
AU8U	Capitaretail China Trust
AUE	United Fiber System Limited
AVM	Boustead Projects Limited
AVUW	Nol Mb Ecw160803
AVV	Cei Contract Manufacturing Ltd
AVX	Hl Global Enterprises Limited
AVZ	Aztech Group Ltd.
AW9U	First Real Estate Inv Trust
AWBW	Noble Group Mb Ecw160602
AWC	Lindeteves-jacoberg Ltd
AWE	Sp Corporation Limited
AWG	Aei Corporation Ltd
AWI	Thakral Corporation Ltd
AWK	Fuxing China Group Limited
